level_0,id,T,formula,database,zT_pred,zT_std,rough_correlation
62204,412155,1000,Cs5Sb8,ICSD,0.578107,0.277647,198.429
68267,657608,1000,Ga2Te3,ICSD,1.17644,0.307812,199.302
68267,657608,700,Ga2Te3,ICSD,1.16617,0.263799,199.302
73155,4302480,700,In2Sb6Zn9,COD,1.13917,0.240093,199.635
73155,4302480,1000,In2Sb6Zn9,COD,1.1672,0.298226,199.635
81662,652642,1000,Sm5Sn4,ICSD,0.57263,0.32362,199.985
73031,370002,1000,In11K8,ICSD,0.546655,0.304193,200.028
11010,9000678,700,BiTe,COD,1.04942,0.307867,200.197
81011,650286,1000,RhSe2,ICSD,1.14306,0.327108,200.869
81011,650286,700,RhSe2,ICSD,0.949304,0.314171,200.869
70501,80292,700,GeTe3Tl2,ICSD,1.26558,0.279982,201.028
67939,657916,1000,FePrSb2,ICSD,0.573551,0.310957,201.113
57840,621988,700,CeRu4Sb12,ICSD,0.75515,0.305347,201.222
68877,1527851,700,GaTe2Tl,COD,1.26404,0.295342,202.435
57123,425075,1000,Ce2Ga3Ru2,ICSD,0.542024,0.303474,202.703
73094,300192,1000,In2Na2Sb3,ICSD,0.624492,0.276884,202.876
68066,2106076,700,Ga13K3,COD,0.513089,0.316651,202.895
56514,1524582,1000,Cd2Pr,COD,0.511493,0.298547,203.001
56813,424170,1000,CdGe2Pr2,ICSD,0.523601,0.310193,203.111
77851,657377,1000,Nd11Sn10,ICSD,0.539828,0.314578,203.315
74862,261872,1000,La3Sn7,ICSD,0.605657,0.28099,203.555
65264,8103657,1000,Eu2In,COD,0.506823,0.309989,203.58
68390,634403,1000,Ga4HoTi2,ICSD,0.60003,0.329848,203.752
68204,634931,1000,Ga2NiSm,ICSD,0.595246,0.328139,204.991
72375,1522655,1000,HgTh2,COD,0.536347,0.287655,205.218
68167,1523559,1000,Ga2Mg,COD,0.5956,0.290355,205.282
69458,414071,1000,Ge2InNd2,ICSD,0.540295,0.321935,205.353
56825,4000657,700,CdGeTe4Tl2,COD,1.31851,0.245679,205.797
81563,9008879,1000,SeZn,COD,1.21675,0.313641,205.809
68067,7221113,1000,Ga13Na7,COD,0.578643,0.295917,206.164
60542,260930,1000,CoGd6Te2,ICSD,0.509912,0.309308,206.717
81416,152638,1000,SbTbZr,ICSD,0.5061,0.286635,206.848
74864,1522573,1000,La3Tl,COD,0.510853,0.324228,206.902
73272,640272,1000,In5Pr3,ICSD,0.547405,0.300489,207.426
57305,54578,1000,Ce4Co2Sn5,ICSD,0.540186,0.287809,207.496
62618,98660,1000,CsNdTe2,ICSD,0.515878,0.328586,207.532
57524,657986,1000,CeFeSb2,ICSD,0.582156,0.316203,207.543
73268,640064,1000,In5Nd3,ICSD,0.550028,0.301681,207.704
67978,657917,1000,FeSb2Sm,ICSD,0.541964,0.3176,208.724
81730,69562,700,SnTe3Tl2,ICSD,1.24493,0.292299,208.994
70109,4000659,700,GeHgTe4Tl2,COD,1.31875,0.249135,209.458
63877,4105347,700,CuInSe2,COD,1.10634,0.32119,209.579
69456,4320129,1000,Ge2InLiSr2,COD,0.506665,0.319207,209.908
68202,634882,1000,Ga2NiPr,ICSD,0.547766,0.304887,209.983
73318,640125,1000,In8Ni7Pr4,ICSD,0.538103,0.308458,210.016
73324,165180,1000,In9KNa3,ICSD,0.583871,0.319588,210.035
63638,9012063,700,CuFeSe2,COD,0.811927,0.32037,210.263
72275,1523810,700,HgIn,COD,1.17126,0.327458,210.64
73067,9015376,1000,In2K2Sb3,COD,0.59351,0.285644,211.664
55676,108796,1000,Ca3Ga8,ICSD,0.56954,0.310686,211.688
72934,66032,700,IIn3Te3,ICSD,1.22145,0.3267,212.326
81398,418213,700,Sb65Zn84,ICSD,1.0903,0.140598,212.848
81398,418213,1000,Sb65Zn84,ICSD,1.14911,0.23636,212.848
73328,4309584,1000,In9Li2Y5,COD,0.559744,0.254805,213.329
78185,646290,1000,Ni2PrSn2,ICSD,0.572622,0.329264,213.399
81808,410895,700,Te3Tl2,ICSD,1.21984,0.262736,213.477
55846,4310163,1000,Ca6Cu2Sn7,COD,0.53763,0.243653,213.632
60949,624816,700,CoRh2Se4,ICSD,0.847765,0.323749,214.114
63270,8101225,700,Cu3Se4V,COD,0.818497,0.324324,214.131
56421,240053,1000,Cd12In48K23Na8,ICSD,0.567055,0.324358,214.548
68155,634508,1000,Ga2LaNi,ICSD,0.529943,0.274875,214.782
77929,4000206,1000,Nd3Sb5Ti,COD,0.575393,0.314512,215.097
57296,1524382,1000,Ce3Sn,COD,0.51606,0.282339,215.732
81693,416771,1000,Sn2Y,ICSD,0.56618,0.264837,215.868
69904,1532942,1000,Ge4Ru2Sm3,COD,0.539211,0.316232,216.074
65497,402571,1000,EuIn2Ni,ICSD,0.590394,0.323888,216.323
73263,165362,1000,In5La3,ICSD,0.510625,0.284998,216.504
77961,657376,1000,Nd5Sn4,ICSD,0.525766,0.314554,217.437
63672,627613,1000,CuGdIn,ICSD,0.530763,0.328712,217.46
81490,1524609,700,Se3SnTl2,COD,1.25282,0.323886,217.859
57215,428424,1000,Ce2Te3,ICSD,0.600821,0.265986,218.011
68135,53575,700,Ga2HgTe4,ICSD,1.2483,0.282366,218.116
81344,651588,700,Sb2SnZn,ICSD,1.18219,0.28996,218.454
73231,186561,1000,In4Ni2Tb5,ICSD,0.537654,0.324863,218.58
56798,619904,1000,CdGaSm,ICSD,0.541267,0.325549,218.619
81335,4317499,1000,Sb18Zr11,COD,0.550766,0.300842,219.259
80850,602830,1000,RbSmTe2,ICSD,0.51608,0.326421,219.306
63320,53295,700,Cu4In9Se16,ICSD,1.12918,0.310496,219.359
63320,53295,1000,Cu4In9Se16,ICSD,1.19811,0.326213,219.359
57856,622083,1000,CeSb2,ICSD,0.588925,0.306457,219.442
69696,76344,1000,Ge2Y,ICSD,0.500731,0.283951,219.742
73334,167635,1000,In9Ni4Tb11,ICSD,0.538896,0.326189,220.058
55439,171161,1000,Ca10LiMgSb9,ICSD,0.514179,0.315932,220.096
77932,1523454,1000,Nd3Tl,COD,0.546152,0.324228,220.383
80836,419402,1000,RbSb2,ICSD,0.61662,0.310709,220.539
60964,9015513,700,CoSb3,COD,0.748396,0.235465,220.579
81814,653174,1000,Te3Y2,ICSD,0.549748,0.283063,221.424
73288,422711,1000,In5Sm3,ICSD,0.587439,0.322457,221.44
61307,2001431,700,CrCu2Se4,COD,0.873651,0.321957,221.616
56426,4108676,1000,Cd13Sb10,COD,1.23741,0.308755,221.744
56426,4108676,700,Cd13Sb10,COD,1.12937,0.255036,221.744
57257,621367,1000,Ce3In5,ICSD,0.529015,0.306885,221.914
81499,652069,700,Se3Tl2,ICSD,1.23175,0.315537,222.046
56872,52811,700,CdIn2Se4,ICSD,1.14096,0.307779,222.107
56872,52811,1000,CdIn2Se4,ICSD,1.18633,0.328936,222.107
56873,5910307,700,CdIn2Te4,COD,1.19094,0.323806,222.568
60176,87886,1000,Co4Sb12Sn,ICSD,1.29282,0.306891,223.223
60176,87886,700,Co4Sb12Sn,ICSD,1.24171,0.24258,223.223
