,id,T,formula,database,zT_pred,zT_std
11005,617113,700,BiSe2Tl,ICSD,1.20945,0.301667
11010,9000678,700,BiTe,COD,1.04942,0.307867
11011,2310403,700,BiTe2Tl,COD,1.13129,0.273589
11211,418160,700,Br2PdSe6,ICSD,1.03677,0.327035
11211,418160,1000,Br2PdSe6,ICSD,1.18182,0.327694
11216,1527495,700,Br2Tl,COD,1.24688,0.328022
11371,419826,700,Br4GaTl,ICSD,1.22718,0.326599
11451,151988,700,Br5Sn2Tl,ICSD,1.19239,0.328844
11517,78874,700,Br6Pb2Pd,ICSD,1.22753,0.325103
11522,405773,1000,Br6PdTe2,ICSD,1.15902,0.328137
11533,99127,700,Br6TeTl2,ICSD,1.22708,0.324502
11644,1524480,1000,BrCuSe3,COD,1.19242,0.32993
11719,414218,700,BrIn5Se5,ICSD,1.16212,0.313849
55439,171161,1000,Ca10LiMgSb9,ICSD,0.514179,0.315932
55464,420619,1000,Ca2Cd2KSb3,ICSD,0.648103,0.254474
55481,4002083,700,Ca2Co2O5,COD,0.551982,0.27332
55481,4002083,1000,Ca2Co2O5,COD,0.886775,0.312642
55519,4320128,1000,Ca2Ge2InLi,COD,0.511484,0.325488
55522,25323,1000,Ca2Ge3Li,ICSD,0.549134,0.266348
55667,423781,1000,Ca3Ga2P4,ICSD,0.507893,0.327539
55673,58899,1000,Ca3Ga4Ni4,ICSD,0.50261,0.283519
55675,58894,1000,Ca3Ga5,ICSD,0.552777,0.292114
55676,108796,1000,Ca3Ga8,ICSD,0.56954,0.310686
55810,36466,1000,Ca5Ga2Sb6,ICSD,0.570328,0.279108
55821,36467,1000,Ca5In2Sb6,ICSD,0.547011,0.259055
55846,4310163,1000,Ca6Cu2Sn7,COD,0.53763,0.243653
55868,1528162,1000,Ca7Ni4Sn13,COD,0.548632,0.327178
56022,248622,700,CaFe4Sb12,ICSD,0.82633,0.268296
56030,619281,1000,CaGa2,ICSD,0.557816,0.307511
56031,8103269,1000,CaGa2Ni,COD,0.540162,0.317174
56033,422525,1000,CaGa2P2,ICSD,0.502764,0.326462
56048,25328,1000,CaGe2Li,ICSD,0.52222,0.269976
56151,58906,1000,CaIn2,ICSD,0.545355,0.309302
56153,619378,1000,CaIn2Ni,ICSD,0.508843,0.291241
56421,240053,1000,Cd12In48K23Na8,ICSD,0.567055,0.324358
56423,43035,700,Cd13In26Se54,ICSD,1.14482,0.307181
56423,43035,1000,Cd13In26Se54,ICSD,1.1885,0.328325
56426,4108676,700,Cd13Sb10,COD,1.12937,0.255036
56426,4108676,1000,Cd13Sb10,COD,1.23741,0.308755
56443,619652,1000,Cd2Ce,ICSD,0.531806,0.29426
56457,420621,700,Cd2Eu2KSb3,ICSD,0.51992,0.325294
56467,192555,1000,Cd2Gd,ICSD,0.564023,0.31817
56474,58983,700,Cd2Hg,ICSD,1.1379,0.308843
56482,420623,1000,Cd2KSb3Sr2,ICSD,0.642045,0.243072
56493,620185,1000,Cd2Nd,ICSD,0.526512,0.314987
56514,1524582,1000,Cd2Pr,COD,0.511493,0.298547
56569,76500,700,Cd3Sb3Tl2,ICSD,1.30754,0.294969
56597,8100910,700,Cd4GeSe6,COD,1.09631,0.322625
56597,8100910,1000,Cd4GeSe6,COD,1.16551,0.306728
56633,413701,1000,Cd6Sb12Sr11,ICSD,0.520575,0.284773
56634,52832,700,Cd6Sb5,ICSD,1.11652,0.272826
56634,52832,1000,Cd6Sb5,ICSD,1.22004,0.312207
56734,619784,700,CdCu2Se4Sn,ICSD,1.10732,0.326983
56746,108205,1000,CdCuGd,ICSD,0.522026,0.317329
56766,619854,1000,CdEuGe,ICSD,0.515717,0.306886
56769,619856,1000,CdEuSn,ICSD,0.513316,0.307924
56792,1526197,700,CdGa2Se4,COD,1.13494,0.319898
56793,5910295,700,CdGa2Te4,COD,1.16168,0.307603
56794,619865,1000,CdGaGd,ICSD,0.552627,0.328658
56798,619904,1000,CdGaSm,ICSD,0.541267,0.325549
56799,619918,1000,CdGd,ICSD,0.531218,0.313883
56809,411775,1000,CdGdPd,ICSD,0.515233,0.308926
56811,424171,1000,CdGe2Nd2,ICSD,0.523911,0.309263
56813,424170,1000,CdGe2Pr2,ICSD,0.523601,0.310193
56814,424172,1000,CdGe2Sm2,ICSD,0.551488,0.328685
56825,4000657,700,CdGeTe4Tl2,COD,1.31851,0.245679
56854,58982,700,CdHg2,ICSD,1.10464,0.323232
56872,52811,700,CdIn2Se4,ICSD,1.14096,0.307779
56872,52811,1000,CdIn2Se4,ICSD,1.18633,0.328936
56873,5910307,700,CdIn2Te4,COD,1.19094,0.323806
56882,422273,1000,CdK2Sb2Sr,ICSD,0.506693,0.328272
57028,9008881,700,CdSb,COD,1.13721,0.273469
57028,9008881,1000,CdSb,COD,1.22722,0.319362
57030,7222183,700,CdSbTl,COD,1.33354,0.276062
57033,9011664,700,CdSe,COD,1.00671,0.308009
57033,9011664,1000,CdSe,COD,1.172,0.299903
57034,620416,700,CdSe2,ICSD,1.03214,0.300249
57034,620416,1000,CdSe2,ICSD,1.1831,0.285279
57035,620451,700,CdSe2Tl,ICSD,1.29178,0.29266
57041,4000658,700,CdSnTe4Tl2,COD,1.31419,0.261102
57044,1524580,1000,CdTb,COD,0.528963,0.327101
57045,246692,700,CdTe,ICSD,1.05199,0.326186
57046,620548,700,CdTe2Tl,ICSD,1.27735,0.272576
