orig_index,T,formula,database,id,rho_pred,seebeck_pred,kappa_pred,zT_pred,rho_var,seebeck_var,kappa_var,zT_var,rho_std,seebeck_std,kappa_std,zT_std,rough_correlation
66198,700,F4MnTl,ICSD,168525,1.00168,0.999881,29.8359,1.17981,0.000242364,2.14391e-08,7.03925e+07,0.0562152,0.0155681,0.000146421,8390.02,0.237097,116.136
1786,700,Al3Si2Y2,COD,2010029,1.00563,0.999992,23.3352,1.22382,0.000391128,3.61577e-08,14629.6,0.0349776,0.019777,0.000190152,120.953,0.187023,116.14
79450,700,O7S3Si2Tb4,ICSD,391162,1.26383,0.999907,13.7703,1.16698,0.580512,1.54476e-08,57917.5,0.0496571,0.761913,0.000124288,240.66,0.222839,116.242
76545,700,MnRhSi,ICSD,643419,1.00025,1.00008,98.7985,1.14667,1.15426e-06,3.71205e-08,6.76655e+08,0.0186282,0.00107436,0.000192667,26012.6,0.136485,116.285
151108,1000,GdMnO3,COD,1531806,1.02517,0.999895,14.7005,1.13803,0.00135715,3.08614e-08,5944.16,0.0125333,0.0368395,0.000175674,77.0984,0.111952,116.295
79657,700,O9V2Zn4,COD,2002364,1.1311,0.999698,120.689,1.08834,0.312873,1.34076e-08,6.45663e+07,0.042273,0.559351,0.000115791,8035.32,0.205604,116.305
78367,700,Ni6Si6Y,ICSD,191286,1.00022,0.999967,34.4561,1.12637,1.05398e-06,5.23202e-08,389058,0.0472305,0.00102664,0.000228736,623.745,0.217326,116.313
63931,700,CuLa,ICSD,628213,1.00529,1.00019,23.8574,1.22102,0.000475841,4.16168e-08,4.08803e+06,0.0567358,0.0218138,0.000204002,2021.89,0.238193,116.315
54730,700,CGaTi2,ICSD,617927,1.00179,0.999863,31.8217,1.23366,0.000117517,2.43769e-08,1.25642e+06,0.0440903,0.0108405,0.000156131,1120.9,0.209977,116.331
64161,700,CuPZr4,ICSD,108398,18.2214,0.999886,36.4078,1.28976,inf,3.614e-08,593923,0.0502291,inf,0.000190105,770.664,0.224119,116.332
81260,700,S4Yb2Zn,ICSD,651444,1.00022,1.00002,13.6109,1.14059,1.03947e-06,3.91263e-08,6.20707e+07,0.0415053,0.00101954,0.000197804,7878.5,0.203728,116.333
161030,1000,O4PbPd2,ICSD,263049,1.00389,1.00001,47.499,1.15213,0.000423803,1.0325e-07,8.26356e+06,0.0374024,0.0205865,0.000321325,2874.64,0.193397,116.334
72946,700,ILa,COD,4343902,1.0011,0.999897,8.13377,1.26497,5.39429e-06,1.00313e-08,781.037,0.0618715,0.00232256,0.000100156,27.947,0.24874,116.345
1020,700,AgSr,COD,2105352,1.48257,1.00014,69364.8,1.24536,2.46618,3.53518e-08,9.06007e+33,0.0583617,1.57041,0.000188021,9.51844e+16,0.241582,116.365
5985,700,B2Mo2Nb,ICSD,614821,1.01209,1.00013,114.184,1.20039,0.000774033,5.66858e-08,9.44525e+08,0.0537711,0.0278215,0.000238088,30733.1,0.231886,116.405
58630,700,Cl4MnNa2,COD,2106200,1.00185,0.999935,18.2613,1.23134,2.91206e-05,4.34226e-08,14277.1,0.0600178,0.00539635,0.000208381,119.487,0.244985,116.429
161631,1000,OV,COD,9008766,1.0283,1.00034,105.958,1.12393,0.0122806,1.50239e-07,1.14926e+08,0.0168297,0.110818,0.000387606,10720.4,0.129729,116.437
389,700,Ag5GeO4,COD,1509922,1.00286,1.00008,6.68034,1.15481,0.000367871,8.07325e-08,4080.59,0.0282404,0.01918,0.000284135,63.8795,0.168049,116.439
56308,700,CaO4Ti2,COD,1008077,1.00622,0.999755,32.1962,1.12667,0.000330813,3.37081e-08,657086,0.0445037,0.0181883,0.000183598,810.609,0.210959,116.461
76209,700,Mn2O7Tl2,ICSD,83269,1.00034,0.999835,42.9227,1.12131,2.24167e-06,2.49554e-08,3.92344e+07,0.0125905,0.00149722,0.000157973,6263.73,0.112207,116.47
61262,700,Cr5P3Zr,ICSD,409488,18.2071,1.00007,17.0332,1.28184,inf,3.73611e-08,12202,0.0425139,inf,0.00019329,110.463,0.206189,116.479
63845,700,CuHoS2,COD,7221517,1.00021,1.00006,6.97848,1.14627,1.02119e-06,3.77595e-08,520.811,0.0265105,0.00101054,0.000194318,22.8213,0.162821,116.481
145482,1000,CuEuS3Sm,ICSD,183815,1.00075,0.999942,11.9749,1.18672,1.3704e-05,2.99309e-08,84562.3,0.0458517,0.0037019,0.000173005,290.796,0.21413,116.499
574,700,AgCaGe,ICSD,421236,1.0011,1.00021,13.9643,1.20045,5.39429e-06,1.69351e-08,1.43082e+06,0.0537842,0.00232256,0.000130135,1196.17,0.231914,116.501
149469,1000,Fe9LaSi4,ICSD,79590,1.00176,0.999988,21.2286,1.22331,0.000117553,3.61255e-08,1.1747e+06,0.0507748,0.0108422,0.000190067,1083.83,0.225333,116.51
75148,700,LaSb,ICSD,44806,1.00418,1.00006,4.26052,1.26365,0.000229366,4.52341e-08,103.102,0.0559975,0.0151448,0.000212683,10.1539,0.236638,116.53
80835,700,RbSb,COD,7221396,1.19826,1.00013,30261.6,1.30505,0.609417,5.76679e-08,4.84365e+33,0.0442923,0.780652,0.000240141,6.95963e+16,0.210457,116.543
157392,1000,LiMoS2,COD,1531962,1.00294,1.00014,20.1714,1.19772,0.000367742,4.37275e-08,107137,0.0468563,0.0191766,0.000209111,327.318,0.216463,116.607
