,id,T,formula,database,zT_pred,zT_std
174,52725,700,Bi,ICSD,1.8685881,0.24045336
175,1528276,700,BiI,COD,1.8676893,0.14020824
176,85582,1000,AuCdRbS2,ICSD,1.8665828,0.1587896
177,406950,1000,Bi24Br20Ru3,ICSD,1.8662543000000005,0.13424017
178,406951,1000,Bi4Br2Ru,ICSD,1.8658805,0.14924127
179,82312,1000,As2Br3Hg4,ICSD,1.8658767,0.16990554
180,236383,1000,Bi3Co,ICSD,1.865709,0.14835492
181,616947,1000,Bi3Pd8,ICSD,1.8653703,0.13911873
182,80588,1000,Hg4I3Sb2,ICSD,1.8653058,0.15180385
183,39257,700,Bi9I2,ICSD,1.864176,0.18772864
184,1527851,1000,GaTe2Tl,COD,1.8622937,0.12589945
185,617096,700,Bi2Se3,ICSD,1.8619566000000003,0.19148456
186,420622,1000,Cd2KSb3Yb2,ICSD,1.8615717,0.14415868
187,413681,1000,CsCu3Se5Tm2,ICSD,1.861495,0.15692386
188,405639,1000,Bi12I3Ni4,ICSD,1.8613641,0.16545203
189,1524520,1000,Pb2Pd,COD,1.8603324,0.19666587
190,418003,1000,Br4Pd4Te3,ICSD,1.860201,0.17139300000000002
191,42549,1000,BiPtTe,ICSD,1.8600295,0.16615728
192,246145,700,Bi4I,ICSD,1.8566945,0.1938721
193,153603,1000,Br3CsHg,ICSD,1.8560004,0.17727652
194,1510273,1000,AuPb3,COD,1.8554202,0.19053984
195,165229,1000,Cd3K16Na9Tl18,ICSD,1.8553694,0.203303
196,1509539,1000,AgSeTl,COD,1.8550537,0.13804685
197,648514,1000,PbSe,ICSD,1.8542181,0.16621001
198,4340717,1000,Bi4Pb7Se13,COD,1.8542095,0.15829931
199,411135,1000,Bi9Br3Rh2,ICSD,1.8531934,0.15397835
200,629124,1000,Cu2Se2Tl,ICSD,1.8528533,0.15041071
201,1527926,1000,Bi2Ge3Te6,COD,1.8525717,0.15734817
202,1530529,1000,Br5CsHg2,COD,1.852078,0.18035229
203,69439,1000,Pt2RbSe3,ICSD,1.8505173,0.15435939
204,639142,1000,HgPd5Se,ICSD,1.8501025,0.17195433
205,391191,1000,Bi37Br48In,ICSD,1.8484702,0.17299025
206,28743,1000,CuSe2Tl,ICSD,1.848133,0.13129999
207,1521988,1000,TeTl,COD,1.8474753,0.13943738
208,74022,1000,Au2K2S4Sn,ICSD,1.8474128,0.14421858
209,9008952,1000,SeTl,COD,1.8472879,0.14758216
210,77882,1000,PbTe,ICSD,1.8469065,0.17313448
211,165359,1000,CsCuPSe3,ICSD,1.8438911,0.18862209
212,1510579,1000,Au6Hg5,COD,1.8438716,0.23099278
213,185808,1000,HgPt2Se3,ICSD,1.8421854,0.16219164
214,58840,1000,Bi2Pd5,ICSD,1.8421751,0.14418219
215,93370,1000,Bi2CsCuS4,ICSD,1.8417772,0.16494587
216,1528273,700,Bi6Br7,COD,1.8413823,0.20749784
217,2595,1000,GePtSe,ICSD,1.8408291,0.14564812
218,1510184,1000,AuITe2,COD,1.8407124,0.15680991
219,4312033,1000,CsDyTe3Zn,COD,1.8401756,0.20414284
220,65806,1000,Hg3I2Te2,ICSD,1.8394345,0.17356370000000002
221,411153,1000,Hg3I2Se2,ICSD,1.8389148,0.1563993
222,4030182,1000,Cu14Se10Tl5,COD,1.8384006,0.12310518
223,69562,1000,SnTe3Tl2,ICSD,1.8380193,0.13623595
224,9003557,1000,AgAuTe2,COD,1.8378508,0.15359832
225,78788,1000,NaPt2Se3,ICSD,1.8366573,0.14778782
226,91298,1000,Bi5Cu2Rb3S10,ICSD,1.834803,0.18940496
227,237340,1000,Br5Hg6Se4Tl,ICSD,1.8341076,0.16515493
228,85682,1000,Au5KP2S8,ICSD,1.8339466,0.13757963
229,406949,1000,Bi4I2Ru,ICSD,1.8336916,0.13672325
230,408442,1000,BiGa2Se4,ICSD,1.8334328,0.14008223
231,80804,1000,Se4SnTl3,ICSD,1.8317589,0.13698858
232,157861,1000,Hg,ICSD,1.8312025,0.20138097
233,1527697,700,BiIn2,COD,1.8311948,0.15964189999999998
234,39931,1000,As10Br18Hg19,ICSD,1.830233,0.14248541
235,58839,1000,BiPd3,ICSD,1.8295404,0.15295969
236,7209420,1000,Au4KSn2,COD,1.8284422,0.1479467
237,190987,1000,Au2Ga2In,ICSD,1.8281757,0.13985956
238,152384,1000,InK5Pb8,ICSD,1.8280993000000003,0.19484027
239,54316,1000,Pb2Pt,ICSD,1.8273246,0.15264536
240,50987,1000,IPdTe,ICSD,1.8268483,0.17315865
241,9004849,700,Bi2Se2Te,COD,1.8264899,0.19707862
242,1510079,1000,AuCdSb,COD,1.8256748,0.15859465
243,1523087,1000,PbPo,COD,1.8247296,0.2132814
244,2206809,1000,AuI3Rb,COD,1.824697,0.19453505
245,1527853,1000,InTe2Tl,COD,1.8246521,0.14134145
246,9011287,1000,AuTe2,COD,1.8246113,0.16728072
247,174373,1000,Cu3KSe5Tm2,ICSD,1.8237565,0.17644277
248,68524,1000,Cu3Se2Tl,ICSD,1.8233273,0.15604717
249,648842,1000,Pd5SeTl,ICSD,1.8231043,0.1393415
250,9011203,700,Bi4Te3,COD,1.8230834,0.17391759
251,1527367,700,Bi8Te9,COD,1.8226506,0.18868071
252,617113,1000,BiSe2Tl,ICSD,1.8225813,0.16202676
253,1532891,1000,Br2Hg3Se2,COD,1.8215655,0.14736612
254,9000678,700,BiTe,COD,1.8210164,0.16786343
255,4002337,1000,Bi8Rb2Se13,COD,1.8207408,0.15638496
256,174372,1000,Cu3Er2KSe5,ICSD,1.8206024,0.14281164
257,415130,700,Bi4Br4Ga,ICSD,1.8199385,0.17788288
258,1510578,1000,Au6Cs4S5,COD,1.8195359,0.18336827
259,1523183,1000,HgTl,COD,1.818385,0.12594041
260,4030789,1000,RbS2Yb,COD,1.8183306,0.12008695
261,4343873,1000,Pt8Sb11Sn14,COD,1.8182062,0.13719379999999998
262,80292,1000,GeTe3Tl2,ICSD,1.8173276000000005,0.14568101
263,1510367,1000,AuBr3Rb,COD,1.8173265,0.15454108
264,60962,1000,SbSe3Tl3,ICSD,1.8169034,0.14573671
265,4000659,1000,GeHgTe4Tl2,COD,1.8168811,0.16703206
266,9011582,1000,Au2Te3,COD,1.8167423,0.15783470000000002
267,4312034,1000,CsTbTe3Zn,COD,1.8160213,0.15469356
268,1527527,1000,AsSe3Tl3,COD,1.81599,0.13336185
269,236348,1000,K6Na14Tl18Zn,ICSD,1.8159527,0.2031728
