id,formula,database,T,zT_pred
7102592,C6H10NO4,COD,1000,0.45637977
246501,CdHo2S4,ICSD,700,0.45637575
43187,As4Mo5,ICSD,1000,0.45635563
1513223,C11H18O4,COD,1000,0.45635256
2208444,AlDy2Ge2,COD,700,0.45634985
4022714,C26H30ClN3,COD,1000,0.45634437
634484,GaLa,ICSD,700,0.45633158
1510876,B2CaRh3,COD,1000,0.4563285
9386,BiF6NaRb2,ICSD,700,0.4563258
249364,C4H11AgO3S3,ICSD,700,0.45631832
2003073,C41H42O34,COD,1000,0.4563169
627631,CuGdS2,ICSD,700,0.4563155
2221022,C10H16O4Sn,COD,1000,0.45630822
2217569,C8H16I,COD,1000,0.45630538
1100279,C19H27LiN2O2S,COD,1000,0.45629984
425800,Ge6Y4Zn5,ICSD,700,0.45629764
4303668,C5H11ClN6O,COD,700,0.4562903
2220737,C3H3N,COD,1000,0.456283
617445,C2CoSm,ICSD,1000,0.45627755
2208320,C5H17O8P3,COD,700,0.45627707
417709,GaH2O8P2Rb,ICSD,700,0.4562665
2005912,C5H6N,COD,1000,0.45626462
7221466,C4O2Se,COD,1000,0.45625532
2015353,C37H52BClN6,COD,1000,0.4562507
151222,CH5NO2,ICSD,700,0.4562492
80525,Np2Si4Tc3,ICSD,1000,0.45624757
2011854,CdO6PtSr3,COD,1000,0.45624673
1502810,C27H36O10,COD,1000,0.45624557
628683,Cu2P2Zr,ICSD,700,0.45624244
4025843,C5H9O3,COD,1000,0.45624176
2206485,C9H11S,COD,1000,0.45622218
2005993,C11H9N5O9,COD,700,0.45621288
4061853,C60H62Fe4N11P3,COD,1000,0.45620418
2222647,C10H18Cl2MnN2O4,COD,700,0.45619738
188958,Al10CeFe2,ICSD,1000,0.45617118
261780,CLa14O7Sb8,ICSD,700,0.45613748
88068,RuSiTm,ICSD,700,0.45613152
2210856,C13H14ClN7,COD,1000,0.4561291
649221,PrRh,ICSD,700,0.45612884
2101608,C8H13N3O5,COD,1000,0.45612505
2004763,C12H24HgI2O6,COD,700,0.45612305
649111,PdY3,ICSD,1000,0.4561214
2216538,C7H18Cl2N4ORu,COD,1000,0.45611125
608030,Al2Ge2Y,ICSD,1000,0.45611045
9009129,Cl2Mg,COD,700,0.45610988
4082210,C5H3F2,COD,700,0.45609725
68622,K2Mo3O12Th,ICSD,700,0.45609522
78982,Ce15I24N7,ICSD,700,0.4560952
16149,C5Cl6O5Ru2Sn,ICSD,700,0.4560709
608835,AlNiS7Sm3,ICSD,700,0.45605552
2007695,C6H11NO3,COD,1000,0.45605037
4022570,C10H20ClN,COD,1000,0.45604828
602633,AlAuLa,ICSD,700,0.45604125
7200645,C16H10Mg3O16,COD,1000,0.45603374
2223495,C12H18N2NiO10,COD,1000,0.4560316
7006741,C10H16N,COD,1000,0.45601827
2221241,C14H18N4O9,COD,1000,0.45601127
163655,C6H18CsNSi2,ICSD,700,0.45599937
2205909,C12H19Cl2CuN5O4,COD,700,0.45599708
1523332,La2Ni7,COD,1000,0.45599493
2220360,C11H11ClMnN2O5,COD,700,0.4559888
652186,Se4Y2Yb,ICSD,700,0.45597985
250859,C4H11Cl2P,ICSD,1000,0.45597485
4022737,C17H19ClN2O4,COD,1000,0.45596918
110581,C6H16Cl2HgN4,ICSD,1000,0.4559569
251064,Ag2S6TeV3,ICSD,700,0.4559561
2216202,C15H24N3O3S6Sb,COD,700,0.45595142
2225611,C4H8ClN5,COD,1000,0.4559474
2014420,C31H35N3O7S,COD,1000,0.45594656
2015910,C10H10N2O7S2Zn2,COD,700,0.4559331
1523096,AlCePt,COD,700,0.45593262
4320013,C3H10Cl2N2,COD,1000,0.45592573
69598,CaH4O6Se,ICSD,700,0.4559206
2000623,C3H5N3O5,COD,1000,0.4559156
2200904,C19H24O8,COD,1000,0.45591033
4031079,C18H22Cl,COD,1000,0.45590755
165085,BrH4NO4,ICSD,700,0.45590594
4112076,C21H33Ca,COD,1000,0.45589143
2224615,C12H13ClN6,COD,700,0.45587772
636273,GdRhSi,ICSD,1000,0.45585787
416175,BrEu2O2,ICSD,1000,0.45585227
2211613,C12H26BaCr2N2O20,COD,1000,0.45584878
2016162,C10H12N4O5S,COD,1000,0.45584857
1506226,C6H8O,COD,1000,0.45583874
605275,AgGdSi,ICSD,1000,0.4558386
7015160,C11H16ClCuN3O5,COD,700,0.45582435
2017324,In2P2Sr,COD,700,0.45582256
2441,Cl6NS2Sb,ICSD,700,0.45581865
2218552,C8H26Br6O4S4Te,COD,1000,0.4558146
2212731,C16H26Cl2CoN2O2,COD,700,0.45580095
620127,CdLu2S4,ICSD,700,0.4557897
109819,C2H4O6Pb,ICSD,700,0.4557825
250751,B6H4O15Pb4,ICSD,1000,0.45577997
1008218,KLiO6P2,COD,1000,0.45577922
609614,AlV3,ICSD,700,0.4557781
2016233,C18H20F3N3O5S2,COD,1000,0.4557723
2209354,C16H24ClN3O2,COD,1000,0.45576805
2000519,C13H17CuN4O7,COD,700,0.4557646
2214460,C4H7KO6,COD,700,0.45576167
2011275,C19H25BaN3O5S2,COD,700,0.4557615
91204,Na2OSb2Ti2,ICSD,1000,0.45574382
1524300,FeO6Si4,COD,700,0.45572665
7215111,C128H142N3,COD,1000,0.45572275
2203015,C10H14CoN8O2,COD,700,0.45572078
635437,GaSm,ICSD,700,0.45570844
2005909,C7H2BrCl2N,COD,1000,0.45570445
2101567,C8H12BrO4,COD,1000,0.45569614
619275,Ca5Ga3,ICSD,700,0.4556951
2004283,C40H52LiO6,COD,1000,0.45569143
8102064,C15H13N13O13,COD,1000,0.45568925
4322259,BaMg4Si3,COD,1000,0.45568848
4063145,C35H40Fe2O3S2,COD,1000,0.45568848
1530516,Ba2S4Ti,COD,1000,0.45567238
2223167,C20H22N2O10S2Zn,COD,700,0.45566633
1509528,AgS3Ta,COD,700,0.4556579
89503,F3GaH3N,ICSD,1000,0.45565224
420342,Ag5O4PSe,ICSD,700,0.45564896
7052235,C18H19,COD,1000,0.45564693
1517804,C30H48O7,COD,1000,0.45564094
606631,AlCoNd3S7,ICSD,700,0.45563814
1640,Cl2H12HgO14,ICSD,700,0.45563763
2310548,S4TaTl3,COD,700,0.45563653
23919,C4I2O4Ru,ICSD,1000,0.45563295
2210392,C16H27CuN3O11,COD,1000,0.45562598
76819,CEr3In,ICSD,700,0.45562172
