id,formula,database,T,zT_pred,zT_std
4306743,C34H34N4Pd,COD,1000,0.4566528,0.083636865
2000927,C20H23NO4,COD,700,0.45665115,0.07112535
2213400,C12H11Cl2CuN6,COD,1000,0.45665017,0.08479506
2005976,C23H29NO10,COD,700,0.4566469,0.07714818
4303214,C8H5O,COD,1000,0.456646,0.07662113
2100751,Al3Zr,COD,700,0.45664436,0.10387561
616426,Be12Ta,ICSD,700,0.4566443,0.10659893
2219463,C18H35CoO12P3V,COD,700,0.45664367,0.08768073
4304872,C38H38CoO14,COD,700,0.456643,0.072910696
7203163,C35H51N3O10,COD,700,0.45664147,0.07620067
2217909,C12H12N2O3S,COD,1000,0.45664108,0.09057732
7012772,C11H23AlN,COD,1000,0.45663232,0.089104354
4109278,C67H36O2,COD,1000,0.45662704,0.076657765
2100091,C20H29NO4,COD,700,0.45662537,0.078077346
98944,CeCoGeH,ICSD,1000,0.45661944,0.17869228
634227,GaGdNi,ICSD,700,0.45661813,0.15031683
30910,GeKNaO3,ICSD,700,0.45661747,0.12960911
7205901,C57H70N6O20,COD,700,0.45661458,0.07079794
2011356,C3H6ClNO,COD,700,0.45660907,0.13117114
2200106,C12H8ClN2S,COD,1000,0.45660907,0.09432236
2010568,C12H26N3O3PS2,COD,1000,0.45660058,0.10535237
2222522,C29H37NO6,COD,700,0.45659757,0.059696496
2208525,C6H7BrN2O2,COD,1000,0.4565971,0.09591101
