,id,T,formula,database,zT_pred,zT_std
1193,8100094,700,Al23Ni6Sm4,COD,0.11025646,0.051666252
76108,1523335,1000,MgSm,COD,0.11024454,0.070781365
75120,1523500,1000,LaRh2,COD,0.11021965,0.1300079
6071,615151,700,B2OsYb,ICSD,0.11021445,0.10378151
3587,2009594,700,As3Be3ClLi4O12,COD,0.11021372,0.06324507
55461,4307486,1000,Ca21Mn4Sb18,COD,0.110213205,0.04989078
6290,615070,700,B3NiW3,ICSD,0.11021283,0.08184007
21836,68100,1000,C16Fe4O16Si,ICSD,0.11021086,0.05979211
58203,9014683,700,Cl2MgO6,COD,0.11020281,0.09297609
63415,92445,700,Cu5O13TlV3,ICSD,0.110191785,0.046378575
307,1510021,1000,Ag3Ni2O4,COD,0.1101894,0.049565755
1070,609079,700,Al11Pr3,ICSD,0.11015484,0.060648113
67228,8282,700,Fe2O5Te,ICSD,0.11015483,0.055301763
75862,2310261,700,Mg23Sr6,COD,0.1101469,0.11077796
1260,154362,700,Al2BaO7Sb2,ICSD,0.11012333,0.04444253
66920,262274,700,FNaO4SZn,ICSD,0.11012114,0.06785026
7573,2002516,1000,BFeNi2O5,COD,0.11011754,0.06779199
79201,415434,1000,O4TaTb,ICSD,0.11011739,0.09103197
60923,624621,700,CoPSc,ICSD,0.110116415,0.05320052
63117,237421,700,Cu3ErFe4O12,ICSD,0.11010421,0.034295022
1077,262937,700,Al12Dy5Fe4Mg5Si6,ICSD,0.11009963,0.12742993
78253,2211031,700,Ni3O6Te,COD,0.11009942,0.038909443
75664,1508387,1000,Lu20Ru11,COD,0.1100653,0.14174291
7762,614862,700,BMo4Zr9,ICSD,0.11002603,0.095399484
56198,4313238,700,CaMg2,COD,0.110023595,0.103351146
56041,96463,1000,CaGaLaO4,ICSD,0.11001092,0.07297781
68780,165330,700,GaO12P3Zr2,ICSD,0.1100096,0.058370903
79493,71320,700,O7Sr3V2,ICSD,0.110008866,0.04739603
64143,2002699,700,CuO8W2Y,COD,0.1100046,0.05131682
56245,9008245,700,CaNO9P3,COD,0.10998432,0.04621501
75949,9016233,1000,Mg48O147Si34,COD,0.10997593,0.058166906
5728,613190,700,B2Co5Nd2,ICSD,0.109959364,0.08451085
66068,87943,1000,F3Ni,ICSD,0.10995493,0.078066915
76430,163804,1000,MnNiO6Tb2,ICSD,0.10995439,0.07579839
56293,159880,700,CaO3Se,ICSD,0.109954335,0.05962787
80365,648877,1000,PdSiTi,ICSD,0.109949,0.095938705
75034,47123,1000,LaNiO2,ICSD,0.109940216,0.0498667
69009,2106361,1000,Gd3NiSi2,COD,0.10992159,0.11814588
8336,200876,700,Ba2NaO6Re,ICSD,0.1099202,0.04763526
5622,72193,700,B2BaO6Zn2,ICSD,0.10991973,0.03204593
6982,1511607,1000,B6Fe2Nd5,COD,0.10991124,0.1965681
1811,658845,700,Al43Cr4Sm6,ICSD,0.10989849,0.052016847
51397,110232,700,C7HCoNO4,ICSD,0.109887905,0.07505291
1117,608144,1000,Al16Hf6Rh7,ICSD,0.1098846,0.08351244
60157,52980,1000,Co4GeNb9,ICSD,0.10988277,0.07734544
58045,413745,700,Cl2Co6O12Te3,ICSD,0.10987674,0.036591355
73747,2106277,700,Ir3ScSi7,COD,0.1098755,0.06782998
11183,9016192,700,Br2N2Zn,COD,0.109863766,0.05074676
76410,42654,700,MnNb4S8,ICSD,0.10985988,0.04496402
6400,613561,1000,B4CrTm,ICSD,0.10985232,0.08580017
2799,57984,700,AlMnPt,ICSD,0.10983566,0.11336287
67360,4030356,700,Fe3O14P4,COD,0.10983505,0.04699589
63941,1000268,1000,CuLa4LiO8,COD,0.10983498,0.05007401
57085,248917,700,Ce2Cl2O11Te4,ICSD,0.109833345,0.06334867
2100,607292,700,Al8DyFe4,ICSD,0.10982674,0.07311277
