,id,T,formula,database,zT_pred,zT_std
1015,5910050,1000,Ag3Hg4,COD,1.6034433,0.14986053
1016,9012857,700,Bi2Pd,COD,1.603374,0.12865916
1024,1524712,1000,BrInTe,COD,1.6016358999999998,0.14166784
1025,1509989,700,Ag8Se6Sn,COD,1.6013223,0.12957907
1030,1510571,1000,Au5Sn,COD,1.6007416,0.14715698
1031,420139,700,Br7Hg6InSb4,ICSD,1.6006718999999998,0.12813173
1049,4030532,1000,NaS2Yb,COD,1.598203,0.13256504
1060,4001921,1000,Ga4Se7Sn,COD,1.5953292,0.13187656
1061,4313308,1000,As2Cs2Se9Sn,COD,1.5951451,0.14756422
1068,152189,1000,Sb16Te3,ICSD,1.5932262,0.14886442
1070,65052,1000,Pd7Se2,ICSD,1.5929455,0.1381449
1071,418556,700,Bi20I36Pt3,ICSD,1.5927987,0.14148878
1076,4313793,1000,CdCsSe3Tb,COD,1.592461,0.14904241
1079,413229,1000,Br8Ga2Pd,ICSD,1.5921379,0.1260097
1080,418796,1000,Br9Nb2S4Tl5,ICSD,1.5921063,0.14547679
1082,79,1000,I4Te,ICSD,1.5919197,0.13211825
1083,415012,700,Bi2I9Tl3,ICSD,1.5915357,0.1210262
1084,425490,700,In4Se3,ICSD,1.5913783,0.1204161
1087,69593,1000,Cu8GeSe6,ICSD,1.5901918,0.14969993
1093,9011252,1000,As3Cd2I,COD,1.5893729,0.12747735
1101,248258,1000,Cu2Se3Sn,ICSD,1.5878716,0.12949187
1102,4000566,1000,Ag2BaSe4Sn,COD,1.5876311,0.14254424
1113,103922,1000,GaPt3,ICSD,1.5860968,0.12339038
1119,617014,700,BiRhSe,ICSD,1.5841364,0.12507528
1129,624899,1000,CoSb2,ICSD,1.5822874,0.12182796
1130,42595,1000,Pd2Sn,ICSD,1.5821445,0.12733975
1134,2310540,1000,As2Te3,COD,1.5816448,0.13902523
1152,9008983,1000,IIn,COD,1.5781491,0.14155658
1156,8101317,1000,Br7GaSe,COD,1.5776207,0.12506571
1164,610367,1000,AsCuTe,ICSD,1.5747665000000002,0.14021449
1167,7209400,700,AuBr3,COD,1.5741191,0.13586079
1173,412776,1000,Ir3Sn7,ICSD,1.5736873,0.123672836
1178,410090,1000,K5Pb24,ICSD,1.5732764,0.13428053
1179,69680,1000,Cs2Se7Sn3,ICSD,1.5732194,0.11991551
1180,1010043,1000,I4Sn,COD,1.5732056,0.13158281
1183,604758,700,Ag7AsSe6,ICSD,1.5729065,0.14548355
1185,4030786,1000,HoRbS2,COD,1.5727916000000002,0.1424019
1186,22182,1000,As2CdSn,ICSD,1.5717764,0.099160664
1210,4027808,700,AgITe3,COD,1.567863,0.13537523
1217,60491,700,ITl,ICSD,1.5663692,0.14567304
1218,75169,700,As3BrHg2,ICSD,1.5658178,0.14552087
1226,60084,700,GaInTe2,ICSD,1.5643546999999998,0.12381047
1229,53575,700,Ga2HgTe4,ICSD,1.5638938,0.120063566
1234,9009141,700,I2Pb,COD,1.5634484,0.14332515
1240,82788,700,Br4Hg3Te,ICSD,1.5619937,0.14620884
1250,1524228,1000,Bi2Ni3Se2,COD,1.5600286,0.1187357
1254,60755,1000,CdI6In4,ICSD,1.5593556,0.1471726
1255,413557,1000,Ga2Ir,ICSD,1.5592754999999998,0.11777569
1259,95094,700,Ag2HgSe4Sn,ICSD,1.5586432,0.122589044
1272,4314708,1000,Ag2AsCsS3,COD,1.5558968,0.14723459
1293,611679,1000,Au5Cd8,ICSD,1.5535421,0.14060716
1295,48016,1000,I2Zn,ICSD,1.5534444,0.09971455
1297,193117,1000,AsInPd5,ICSD,1.5533135,0.10970417
1298,627313,1000,Cu2FeGeSe4,ICSD,1.5532317,0.11297117
1313,190588,700,Ag2I4Zn,ICSD,1.5516385,0.13909845
1321,108293,700,SeSn,ICSD,1.5503023,0.13934478
1342,657394,1000,Cu3K3Se8Ta2,ICSD,1.5464923000000002,0.1491693
1343,154669,1000,CuHoPbSe3,ICSD,1.546396,0.14796208
1354,1523046,1000,Ga5Ir3,COD,1.5442843000000002,0.11065183
1363,2105383,700,Ag9GaSe6,COD,1.5427415,0.12822519999999998
1366,152521,1000,CuPbSe3Yb,ICSD,1.5425082,0.14079785
1376,1008058,1000,NiRh2Se4,COD,1.5406871000000002,0.12885684
1378,626736,1000,CrSe2Tl,ICSD,1.5405617,0.12838264
1392,1524518,1000,FeSn2,COD,1.5394351000000002,0.13426349
1394,52832,1000,Cd6Sb5,ICSD,1.5388631000000002,0.12160812
1405,634441,1000,Ga3Ir,ICSD,1.5370182,0.12527072
1408,9008983,700,IIn,COD,1.5365376,0.12574954
1411,627827,1000,Cu2GeSe4Zn,ICSD,1.536316,0.100990385
1416,4310304,1000,CsGeSe4Sm,COD,1.5358886,0.14264636
1417,647972,1000,PPt5Sn,ICSD,1.5352844,0.13160989
1423,4000818,700,Hg3Se4Tl2,COD,1.5347188,0.13329749
1424,249724,1000,C6Au3KN6Ni,ICSD,1.5347062,0.12639594
1427,9008881,1000,CdSb,COD,1.5340981000000002,0.12460021
1428,1526197,1000,CdGa2Se4,COD,1.5339761,0.14405568
1436,9000252,700,Ag2Se,COD,1.5324402,0.13463372
1442,9008936,1000,GePd,COD,1.5308646,0.124008745
1462,86895,700,I5PbTl3,ICSD,1.5276115,0.13344052
1463,1531463,700,Hg2Se4Sn,COD,1.527249,0.13023357
1464,4001921,700,Ga4Se7Sn,COD,1.5268674,0.12458551
1467,5910326,1000,In2Se4Zn,COD,1.5264167,0.124058396
1475,165350,1000,EuK4P2Se8,ICSD,1.5256482,0.14051977
1477,69652,1000,Br4GaIn,ICSD,1.5255073,0.14176558
1480,9014572,1000,CuNiSb2,COD,1.5245252,0.14744267
1482,2020013,1000,HoKS2,COD,1.5238651,0.14229715
1506,201607,700,I2In,ICSD,1.5209999,0.13074648
1511,634438,1000,Ga9Ir2,ICSD,1.5204022,0.117117226
1512,156499,1000,Ir2Sn3Te3,ICSD,1.5201322,0.1296879
1520,152519,1000,CuErPbSe3,ICSD,1.5176395,0.13285846
1521,4315490,1000,Au50Ca13Ge22,COD,1.5174962,0.14180647
1522,400652,1000,Cu3SbSe4,ICSD,1.517411,0.13924406
1524,2106208,700,In6Se7,COD,1.5172417,0.13396256
1532,2204243,700,Bi2Cs2Se5Zn,COD,1.5164998,0.14706188
1536,1524598,1000,Sb5Zn6,COD,1.5162468,0.13570729999999998
1539,190327,1000,NiSb3,ICSD,1.5160241,0.14836949
1543,4304497,700,In9Se14,COD,1.5150197,0.111464486
1546,89912,1000,Ba3Bi6PbSe13,ICSD,1.5140063999999998,0.14720607
1553,36217,1000,Br3FeTl,ICSD,1.5127149,0.11724832
1558,9012583,1000,NiSb2,COD,1.511666,0.12933599999999998
1564,414218,700,BrIn5Se5,ICSD,1.51122,0.10541402
1567,4030531,1000,NaS2Tm,COD,1.5107959999999998,0.14626265
1571,624816,1000,CoRh2Se4,ICSD,1.5103269,0.10802837
1573,5910295,700,CdGa2Te4,COD,1.5102156,0.10787903
1576,16736,1000,As2CdGe,ICSD,1.5096511,0.10673104
1578,423670,1000,I3IrTe6,ICSD,1.5094675,0.13001697
1581,1510519,1000,Au3Zn,COD,1.5089699,0.12141996
1597,165360,1000,AgKPSe3,ICSD,1.507162,0.14702034
1598,52811,1000,CdIn2Se4,ICSD,1.5067573,0.096855015
1606,69562,700,SnTe3Tl2,ICSD,1.5059854,0.13428172
1611,32714,700,InSe,ICSD,1.5051478,0.123679146
1614,611044,1000,AsNiPd,ICSD,1.5047077,0.13928044
1615,1509200,700,AgAsSe2,COD,1.5044018,0.13505803
1620,4337945,1000,As2Cd3,COD,1.5032603999999998,0.12884262
1626,616741,1000,BiIrSe,ICSD,1.5025308000000002,0.10195606
1627,419827,1000,AlI4Tl,ICSD,1.5022972,0.13481858
1628,42226,1000,CdI2,ICSD,1.5021791000000002,0.13650802
1629,628989,1000,Cu3Sb,ICSD,1.5021149,0.11466285
1636,37099,700,I4Tl2Zn,ICSD,1.5009311,0.14457637
