id,T,formula,database,zT_pred,zT_std,mp_id,source
53967,1000,BiTl,ICSD,1.9121784,0.18432054,mp-30083,greedy
58864,1000,Bi2Tl,ICSD,1.9119906,0.18386804,mp-30469,greedy
1531626,1000,Bi6PbTe10,COD,1.9077845,0.16730228,mp-1106025,greedy
1510509,1000,Au3RbSe2,COD,1.9077201,0.14820677,mp-9385,greedy
616936,1000,Bi2PbTe4,ICSD,1.9072886,0.1955304,mp-676250,greedy
85581,1000,AuCdCsS2,ICSD,1.9071542,0.213356,mp-560558,greedy
262687,1000,ClCs6Dy21Te34,ICSD,1.9068787,0.16801363,mp-1203042,greedy
404695,1000,K6MgNa14Tl18,ICSD,1.9060408,0.19170305,mp-1198979,greedy
408685,1000,Au2Cs2S4Sn,ICSD,1.9045774,0.20081677,mp-561641,greedy
601653,1000,Cu2Te2Tl,ICSD,1.9045632,0.15300421,mp-569204,greedy
9008555,1000,Tl,COD,1.9041793,0.22959831,mp-39,greedy
656155,1000,Cu2GeHgTe4,ICSD,1.9039052,0.1630956,,greedy
2310403,1000,BiTe2Tl,COD,1.9036345,0.1411471,mp-27438,both
410814,1000,As4Hg7I6Sn,ICSD,1.9028908,0.1657546,mp-571478,both
4312036,1000,CsErTe3Zn,COD,1.9028887,0.20752542,mp-569107,greedy
415130,1000,Bi4Br4Ga,ICSD,1.9024907,0.15518963,mp-571502,greedy
422827,1000,BiCu4ISe4,ICSD,1.9017875,0.14090706,mp-1202250,both
648621,1000,PbTe3Tl4,ICSD,1.9008114,0.15324333,mp-20740,greedy
649563,1000,PtSbSe,ICSD,1.9006261,0.1480492,mp-1101950,both
190969,1000,Hg3Pd8Se9,ICSD,1.8993187,0.14938256,mp-1202782,greedy
2206091,1000,AuBr3Cs,COD,1.8976281000000004,0.17349583,mp-569548,greedy
42891,1000,Bi4GeTe7,ICSD,1.8972931,0.1426526,mp-29644,greedy
611768,1000,AuCuSn,ICSD,1.8969002,0.14973632,mp-1071623,greedy
656158,1000,Cu2HgSnTe4,ICSD,1.8967558,0.1371568,mp-1079012,both
1509890,1000,Ag3AuTe2,COD,1.8958966,0.13994074,mp-5710,greedy
4304501,1000,Au4KSn6,COD,1.8953465,0.17392546,mp-570068,greedy
69440,1000,CsPt2Se3,ICSD,1.8948905,0.18325435,mp-573316,greedy
89018,1000,HgRbSbSe3,ICSD,1.8942505,0.1764434,mp-6300,greedy
58846,1000,Bi2Pt,ICSD,1.8938054,0.18693268,mp-568531,greedy
28312,1000,Br3CsPb,ICSD,1.8932468,0.19352609,mp-567681,greedy
83477,1000,HgPRb2Se5,ICSD,1.8929485,0.15962665,mp-569349,greedy
4312035,1000,CsHoTe3Zn,COD,1.8928244,0.17645602,mp-579556,greedy
8100034,1000,Br5PdTl3,COD,1.8916707,0.19474828,mp-31287,greedy
42707,1000,Bi4PbTe7,ICSD,1.8901285,0.14441064,mp-23005,greedy
1523008,1000,BiITe,COD,1.8899553,0.17326777,mp-22965,greedy
1001415,1000,As2Hg4I3,COD,1.8878198,0.16135333,mp-28590,greedy
409062,1000,I2PdTe,ICSD,1.8874719,0.1724701,mp-573321,greedy
76649,1000,BiBrSe,ICSD,1.8872969,0.18908086,mp-569707,greedy
411096,1000,Bi3BrSe4,ICSD,1.8869585,0.17235002,mp-29857,greedy
1510489,1000,Au3CsS2,COD,1.8853647,0.21851051,mp-9384,greedy
49658,1000,GeTe3Tl3,ICSD,1.8849143,0.17617668,mp-17217,greedy
78786,1000,Pd2Se3Tl,ICSD,1.8844767,0.19846776,mp-7038,greedy
7209352,1000,AgTe2Tl3,COD,1.8843253,0.15644398,mp-650442,greedy
1510272,1000,AuPb2,COD,1.8833823,0.19932434,mp-22795,greedy
4002165,1000,Cs2Hg3S4,COD,1.8819091,0.19543335,mp-1105419,greedy
30394,1000,Bi2GeTe4,ICSD,1.8776002,0.16102175,mp-27948,greedy
1509884,1000,Ag3AuSe2,COD,1.8766993000000003,0.16463758,mp-3172,greedy
1010882,1000,SbTl,COD,1.8765225,0.1634392999999999,mp-6958,greedy
1510296,1000,AuSe,COD,1.8761784,0.2074547,mp-10678,greedy
9001316,1000,AgBiTe2,COD,1.8740015,0.16423663,mp-570549,greedy
413682,1000,CsCu3Se5Yb2,ICSD,1.8734534,0.1813338,mp-1190671,greedy
26266,1000,Cs2Pt3S4,ICSD,1.872836,0.19145907,mp-13992,greedy
165349,1000,P2PbRb4Se8,ICSD,1.8719449,0.18731666,mp-867964,greedy
30372,1000,Bi2Pb2Se5,ICSD,1.8717761,0.16451657,mp-570930,greedy
78785,1000,Pt2Se3Tl,ICSD,1.8716048,0.14843222,mp-541487,both
617014,1000,BiRhSe,ICSD,1.8713946,0.14487867,mp-1101765,both
203188,1000,Br8Hg2PdRb2,ICSD,1.8708926,0.19462714,mp-567515,greedy
91299,1000,Bi5Cs3Cu2S10,ICSD,1.8707002,0.1846026,mp-669419,greedy
9009816,1000,BrHg3ITe2,COD,1.8694541,0.1449878,mp-571177,greedy
83633,1000,Hg3Rb2Te4,ICSD,1.8693925,0.19723128,mp-29107,greedy
417510,1000,CoCsSe3Yb,ICSD,1.8693608,0.18400675,mp-542948,greedy
85582,1000,AuCdRbS2,ICSD,1.8665828,0.1587896,mp-558536,greedy
406950,1000,Bi24Br20Ru3,ICSD,1.8662543000000005,0.13424017,mp-680053,greedy
406951,1000,Bi4Br2Ru,ICSD,1.8658805,0.14924127,mp-541772,both
