# Outliers,Original Index,Temperature (K),Electrical Resistivity (Ohm m),Seebeck Coefficient (V/K),Thermal Conductivity (W/(m K)),Figure of Merit,Thermopower (V/K),Thermal Conductivity x Figure of Merit (W/m K),Power Factor (W/(K^2 m)),Formula,Series,Series Index,Family,Electrical Conductivity (S/m),Preparative Route,Final Form,Authors,DOI,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per Formula Unit,Total Atoms Per Unit Cell,Average Atomic Volume,Author of Unit Cell,Unit Cell DOI,ICSD ID,Electronic over Total Thermal Conductivity,Space Group,Number of Symmetry Elements
outliers,orig_index,T,rho,seebeck,kappa,zT,seebeck_abs,kappa_zT,power_factor,formula,series,x,family,sigma,preparative_route,final_form,authors,doi,comments,cell_volume,formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,author_of_unit_cell,unit_cell_doi,icsd_id,kel/ktot,space_group,symmetry_elements
,24,1000,0.0004660440318,0.000262408,8.44401,0.01749759873,0.000262408,0.1477498986,0.0001477498986,Li0.0024Ni0.9976O,LixNi1-xO,0.0024,NiO,2145.72,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.006200320464,225,192
,25,400,0.0508646999,0.00024937,8.32761,0.00005872344661,0.00024937,0.0004890259612,0.000001222564903,Li0.0066Ni0.9944O,LixNi1-xO,0.0066,NiO,19.66,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.00002304161698,225,192
,26,700,0.0003162085332,0.000200391,6.0105,0.01479007165,0.000200391,0.08889572565,0.0001269938938,Li0.0066Ni0.9944O,LixNi1-xO,0.0066,NiO,3162.47,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.008986771084,225,192
,27,1000,0.0002847842617,0.000206655,5.30518,0.02826674014,0.000206655,0.1499601445,0.0001499601445,Li0.0066Ni0.9944O,LixNi1-xO,0.0066,NiO,3511.43,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.0161500443,225,192
,28,400,0.0006427230892,0.000116907,,,0.000116907,0.008505838286,0.00002126459572,Li0.0184Ni0.9816O,LixNi1-xO,0.0184,NiO,1555.88,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,,225,192
,29,700,0.0001980492152,0.0000978809,,,0.0000978809,0.03386264067,0.00004837520095,Li0.0184Ni0.9816O,LixNi1-xO,0.0184,NiO,5049.25,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,,225,192
,30,1000,0.00006660716427,0.000105171,,,0.000105171,0.1660623052,0.0001660623052,Li0.0184Ni0.9816O,LixNi1-xO,0.0184,NiO,15013.4,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,,225,192
,31,400,0.0001234325608,0.000102591,3.75078,0.009093418669,0.000102591,0.03410741288,0.00008526853219,Li0.0242Ni0.9758O,LixNi1-xO,0.0242,NiO,8101.59,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,Data at 460 K,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.02108135332,225,192
,32,700,0.00004865540781,0.0000773734,3.49599,0.02463656209,0.0000773734,0.08612917471,0.0001230416782,Li0.0242Ni0.9758O,LixNi1-xO,0.0242,NiO,20552.7,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.1004122197,225,192
,33,1000,0.00003874392205,0.0000794948,2.54979,0.06396898301,0.0000794948,0.1631074732,0.0001631074732,Li0.0242Ni0.9758O,LixNi1-xO,0.0242,NiO,25810.5,Solid state reaction,polycrystalline,Shin1999JJAPP2,http://dx.doi.org/10.1143/JJAP.38.L1336,,72.93,4,2,8,9.11625,Sasaki,http://dx.doi.org/10.2183/pjab.55.43,9866,0.2469913993,225,192
,34,300,0.05007604258,-0.000572037,,,0.000572037,0.001960376535,0.000006534588449,CaMnO3,Ca1-xBixMn1-yNbyO3,0,CaMnO3,19.96962916,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 325 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,35,400,0.02925074959,-0.000549121,3.30607,0.001247231446,0.000549121,0.004123434467,0.00001030858617,CaMnO3,Ca1-xBixMn1-yNbyO3,0,CaMnO3,34.18715807,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.0001009254682,62,8
,36,700,0.006432443793,-0.000477482,2.04673,0.01212203388,0.000477482,0.02481053039,0.00003544361485,CaMnO3,Ca1-xBixMn1-yNbyO3,0,CaMnO3,155.4619103,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.001297332539,62,8
,37,1000,0.001105711942,-0.000406813,1.67874,0.08915879837,0.000406813,0.1496744412,0.0001496744412,CaMnO3,Ca1-xBixMn1-yNbyO3,0,CaMnO3,904.3946821,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 972 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.01314511493,62,8
,38,300,0.0002032591008,-0.000100036,2.51281,0.005877927685,0.000100036,0.01477011547,0.00004923371822,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,0.02,CaMnO3,4919.828908,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 325 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.01433182278,62,8
,39,400,0.0002153723764,-0.000119206,2.27454,0.01160306281,0.000119206,0.02639163049,0.00006597907622,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,0.02,CaMnO3,4643.120983,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.01992352775,62,8
,40,700,0.000259143309,-0.000184305,1.87848,0.04884562817,0.000184305,0.09175553561,0.0001310793366,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,0.02,CaMnO3,3858.868685,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,x=y,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.03508660041,62,8
,41,1000,0.0002663790097,-0.000205164,1.73598,0.09102435246,0.000205164,0.1580164554,0.0001580164554,Ca0.98Bi0.02Mn0.98Nb0.02O3,Ca1-xBixMn1-yNbyO3,0.02,CaMnO3,3754.049545,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 972 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.05276489873,62,8
,42,300,0.0000886420926,-0.0000911852,2.2675,0.01241031111,0.0000911852,0.02814038045,0.00009380126817,Ca0.96Bi0.04Mn0.96Nb0.04O3,Ca1-xBixMn1-yNbyO3,0.04,CaMnO3,11281.32212,Solid state reaction,polycrystalline,Park2009JAC,http://dx.doi.org/10.1016/j.jallcom.2009.08.012,"Extrapolated from 325 K, x=y",206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,0.03641864517,62,8
